,name,status,link,flag,abandon_date,notified_date,port,reported_by,abandon_year,notified_year
0,AG Bless,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=137&p_search_id=211217142103,Panama,25 November 2009,24 February 2010,"Dakar, Senegal",ITF,2009,2010
1,AG Mars,,seafarersbrowse.details?p_lang=en&p_abandonment_id=565&p_search_id=211217142103,Liberia,16 August 2021,26 August 2021,"Karachi, Pakistan",ITF,2021,2021
2,AQ 01,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=377&p_search_id=211217142103,United Arab Emirates,February 2017,4 January 2019,"Khorfakkan Port, Sharjah, UAE",International Chamber of Shipping,2017,2019
3,ARYBBAS,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=414&p_search_id=211217142103,Liberia,15 September 2019,19 November 2019,Port of Djibouti,Govt. of Greece,2019,2019
4,Abdallah,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=369&p_search_id=211217142103,Palau,,,Sharjah OPL anchorage,Other,,
5,Abdul Razag,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=372&p_search_id=211217142103,United Arab Emirates,,,Sharjah OPL Anchorage,Other,,
6,Abo Alyssa,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=394&p_search_id=211217142103,Togo,26 March 2019,17 June 2019,"Nemrut, Turkey",ITF,2019,2019
7,Adriatica 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=199&p_search_id=211217142103,Cyprus,20 September 2013,20 September 2013,"Porto Empedocle, Sicily, Italy",ITF,2013,2013
8,Agat,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=166&p_search_id=211217142103,Antigua & Barbuda,17 March 2011,11 May 2011,"Tenes, Algeria",ITF,2011,2011
9,Agdash,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=461&p_search_id=211217142103,Malta,13 June 2020,13 October 2020,"South Suez anchorage, Egypt",ITF,2020,2020
10,Ahadi 001 - fishing vessel,,seafarersbrowse.details?p_lang=en&p_abandonment_id=495&p_search_id=211217142103,Kenya,1 September 2020,18 December 2020,"Malindi, Kenya",ITF,2020,2020
11,Aizdihar,,seafarersbrowse.details?p_lang=en&p_abandonment_id=470&p_search_id=211217142103,St. Kitts & Nevis,28 February 2020,20 October 2020,"Sharjah, UAE",ITF,2020,2020
12,Akasya 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=411&p_search_id=211217142103,Comoros,28 October 2019,14 November 2019,"Gabes Port, Tunisia",ITF,2019,2019
13,Al Maha,,seafarersbrowse.details?p_lang=en&p_abandonment_id=589&p_search_id=211217142103,Palau,1 November 2021,5 November 2021,"Sohar OLP anchorage, Oman",ITF,2021,2021
14,Al Mansour,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=184&p_search_id=211217142103,Morocco,24 January 2012,17 July 2012,Port of ALGECIRAS,Other,2012,2012
15,Al Nader,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=370&p_search_id=211217142103,United Arab Emirates,21 August 2017,,Sharjah OPL Anchorage,Other,2017,
16,Al Rahyah,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=504&p_search_id=211217142103,Oman,14 February 2020,2 December 2020,"Port Saleef, Yemen",ITF,2020,2020
17,Algosaibi 51,,seafarersbrowse.details?p_lang=en&p_abandonment_id=537&p_search_id=211217142103,Bahrain,10 May 2021,18 May 2021,"Mina Salman, Bahrain",ITF,2021,2021
18,Ali B3,,seafarersbrowse.details?p_lang=en&p_abandonment_id=564&p_search_id=211217142103,Panama,12 August 2021,26 August 2021,"Abu Dhabi, UAE",ITF,2021,2021
19,Ali Bey,,seafarersbrowse.details?p_lang=en&p_abandonment_id=490&p_search_id=211217142103,Panama,30 November 2020,2 December 2020,"Constanta, Romania",ITF,2020,2020
20,Aman,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=331&p_search_id=211217142103,Bahrain,16 November 2017,19 December 2017,Suez Anchorage,ITF,2017,2017
21,Amsel,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=312&p_search_id=211217142103,Cyprus,6 July 2017,5 October 2017,"Varna, Bulgaria",ITF,2017,2017
22,An Da,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=474&p_search_id=211217142103,Sierra Leone,6 August 2020,23 October 2020,"Kaohsiung anchorage, Taiwan",ITF,2020,2020
23,Ana-M,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=397&p_search_id=211217142103,Liberia,8 October 2018,24 May 2019,"Aviera, Portugal",Govt. of Liberia,2018,2019
24,Anastasia K,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=352&p_search_id=211217142103,Malta,19 February 2016,,"Varna, Bulgaria",ITF,2016,
25,Anatoly Kolesov,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=248&p_search_id=211217142103,Belize,15 May 2015,May 2015,"Varna, Bulgaria",ITF,2015,2015
26,Angelic Power,,seafarersbrowse.details?p_lang=en&p_abandonment_id=549&p_search_id=211217142103,Greece,6 May 2021,14 June 2021,"Guishan Anchorage, China",ITF,2021,2021
27,Ariana ,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=536&p_search_id=211217142103,Panama,13 May 2021,18 May 2021,"Sharjah, UAE",ITF,2021,2021
28,Asia Adventurer,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=406&p_search_id=211217142103,Panama,July 2019,23 October 2019,Sharjah Anchorage,International Chamber of Shipping,2019,2019
29,Asso 6,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=471&p_search_id=211217142103,Togo,25 May 2020,20 October 2020,"Palermo, Italy",ITF,2020,2020
30,Atlantic Surveyor,,seafarersbrowse.details?p_lang=en&p_abandonment_id=268&p_search_id=211217142103,Liberia,2 February 2017,2 February 2017,"Heraklion Port, Greece",Govt. of Liberia,2017,2017
31,Aurika,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=90&p_search_id=211217142103,St. Vincent & Grenadines,September 2008,September 2008,"Midia, Romania",ITF,2008,2008
32,Avantis 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=204&p_search_id=211217142103,Greece,1 July 2013,1 November 2013,Genoa / Italy,ITF,2013,2013
33,Avlemon,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=323&p_search_id=211217142103,Liberia,19 December 2017,15 January 2018,"PAX Ocean Shipyard,  Zhoushan, China",ITF,2017,2018
34,Axis,,seafarersbrowse.details?p_lang=en&p_abandonment_id=387&p_search_id=211217142103,Panama,October 2018,19 March 2019,"Cotonou, Benin",International Chamber of Shipping,2018,2019
35,Azraqmoiah,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=367&p_search_id=211217142103,United Arab Emirates,21 February 2018,6 December 2018,Off Ajman OPL anchorage,Other,2018,2018
36,BNI ,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=275&p_search_id=211217142103,Panama,4 December 2011,,Sète,Govt. of France,2011,
37,BTMAX 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=520&p_search_id=211217142103,Bolivia,1 February 2021,17 February 2021,"Port of Spain, Trinidad",ITF,2021,2021
38,Bader III,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=540&p_search_id=211217142103,Bahamas,30 May 2021,11 June 2021,"Fujairah Anchorage, UAE",ITF,2021,2021
39,Bahman Discovery,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=328&p_search_id=211217142103,Panama,2 November 2017,24 January 2018,"Ajman Anchorage, UAE",ITF,2017,2018
40,Bakhtiyar Vahabzade ,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=464&p_search_id=211217142103,Malta,29 September 2020,19 October 2020,"Istanbul anchorage, Turkey",ITF,2020,2020
41,Baltic Pearl,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=506&p_search_id=211217142103,Panama,30 January 2020,4 January 2021,"Khorramshahr, Iran",ITF,2020,2021
42,Baltic Star,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=143&p_search_id=211217142103,Belize,December 2009,,"Douala, Cameroon",ITF,2009,
43,Beas Dolphin,,seafarersbrowse.details?p_lang=en&p_abandonment_id=382&p_search_id=211217142103,Mauritius,,31 January 2019,Mumbai,International Chamber of Shipping,,2019
44,Bedford castle,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=447&p_search_id=211217142103,Panama,15 May 2020,20 July 2020,"Jebel Ali, UAE",ITF,2020,2020
45,Bella,,seafarersbrowse.details?p_lang=en&p_abandonment_id=531&p_search_id=211217142103,Cameroon,19 March 2021,23 April 2021,"Messina, Italy",ITF,2021,2021
46,Bellatrix,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=289&p_search_id=211217142103,,24 June 2017,,"Yalova, Turkey",ITF,2017,
47,Blue Cat,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=400&p_search_id=211217142103,Liberia,,21 February 2019,"Thessaloniki, Greece",Govt. of Liberia,,2019
48,Bonnie B,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=383&p_search_id=211217142103,Cyprus,15 November 2018,14 February 2019,OTW Malta,ITF,2018,2019
49,Boorj 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=299&p_search_id=211217142103,Panama,31 August 2017,6 September 2017,"Anchorage Near Ajman, UAE",ITF,2017,2017
50,Borhan 3,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=391&p_search_id=211217142103,Iran,22 February 2019,20 May 2019,Bushehr,ITF,2019,2019
51,Bourbon,,seafarersbrowse.details?p_lang=en&p_abandonment_id=452&p_search_id=211217142103,Liberia,1 September 2020,7 October 2020,"Outer anchorage, off Manila, Philippines",Govt. of Liberia,2020,2020
52,Bourbon,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=437&p_search_id=211217142103,Liberia,8 May 2020,19 May 2020,"Songxia, China",Govt. of Liberia,2020,2020
53,Bramco 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=224&p_search_id=211217142103,Bahrain,23 March 2015,5 May 2015,"Guandong shipyard, People's Republic of China",ITF,2015,2015
54,Braveheart,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=254&p_search_id=211217142103,Portugal,15 September 2016,16 November 2016,"Off Limbe, Cameroon",ITF,2016,2016
55,CGY Svetlana,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=119&p_search_id=211217142103,Georgia,5 August 2009,30 November 2009,Istalbul,ITF,2009,2009
56,CSD Huta 15,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=446&p_search_id=211217142103,Saudi Arabia,16 April 2020,20 July 2020,"Jeddah, Saudi Arabia",ITF,2020,2020
57,Capella,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=89&p_search_id=211217142103,Antigua & Barbuda,3 November 2008,28 May 2009,"Pasajes, Spain",ITF,2008,2009
58,Captain Nagdaliyev,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=449&p_search_id=211217142103,Malta,13 March 2020,20 July 2020,"Beirut, Lebanon",ITF,2020,2020
59,Captain Tsarev,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=150&p_search_id=211217142103,Panama,1 September 2009,16 October 2009,Brest,Govt. of France,2009,2009
60,Caribana Express,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=530&p_search_id=211217142103,Panama,14 December 2020,18 March 2021,"Castellon, Spain",ITF,2020,2021
61,Carina,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=182&p_search_id=211217142103,St. Vincent & Grenadines,12 January 2012,20 June 2012,"Augusta, Sicily",ITF,2012,2012
62,Celenova,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=421&p_search_id=211217142103,Spain,2 February 2020,26 February 2020,"Manila bay, Philippines",ITF,2020,2020
63,Chan Fong,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=480&p_search_id=211217142103,,25 August 2020,2 November 2020,"Taichung, Taiwan",ITF,2020,2020
64,Cheng Lu 1,,seafarersbrowse.details?p_lang=en&p_abandonment_id=481&p_search_id=211217142103,,26 September 2020,2 November 2020,"Yatsushiro, Japan",ITF,2020,2020
65,Chloe V ,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=576&p_search_id=211217142103,Marshall Islands,30 July 2021,14 October 2021,Singapore,ITF,2021,2021
66,City Elite,,seafarersbrowse.details?p_lang=en&p_abandonment_id=287&p_search_id=211217142103,Liberia,28 June 2017,5 July 2017,"Khor Fakkan OPL, United Arab Emirates",International Labour Organization,2017,2017
67,Cobija - fishing vessel,,seafarersbrowse.details?p_lang=en&p_abandonment_id=574&p_search_id=211217142103,,,22 September 2021,coast of Yemen,Govt. of Namibia,,2021
68,Colombus 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=73&p_search_id=211217142103,St. Kitts & Nevis,20 January 2009,23 January 2009,Port Sudan,ITF,2009,2009
69,Crisnik K,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=307&p_search_id=211217142103,Togo,8 August 2017,7 September 2017,"Perama, Greece",ITF,2017,2017
70,Danah 6,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=503&p_search_id=211217142103,Oman,14 February 2020,2 December 2020,"Port Saleef, Yemen",ITF,2020,2020
71,Dauria,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=36&p_search_id=211217142103,Comoros,30 August 2005,16 September 2005,"Antalya, Turkey",ITF,2005,2005
72,De Yun,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=556&p_search_id=211217142103,Belize,10 October 2019,6 July 2021,"Taipei, Taiwan",ITF,2019,2021
73,Delta Sea,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=457&p_search_id=211217142103,Liberia,16 March 2016,12 October 2020,Turkey (drydock),International Chamber of Shipping,2016,2020
74,Deniz S,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=458&p_search_id=211217142103,Tanzania,8 February 2020,12 October 2020,"Buragas Port, Bulgaria",International Chamber of Shipping,2020,2020
75,Derbent,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=136&p_search_id=211217142103,Cambodia,7 February 2008,,"Wakkanai, Japan",ITF,2008,
76,Dharma,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=330&p_search_id=211217142103,Panama,7 February 2018,6 February 2018,"Hamriyah Oil Terminal, UAE",ITF,2018,2018
77,Dila S,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=164&p_search_id=211217142103,Panama,22 February 2011,22 February 2011,"Augusta, Italy",ITF,2011,2011
78,Doha IV,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=230&p_search_id=211217142103,United Arab Emirates,30 September 2015,2 October 2015,"Sharjah anchorage, United Arab Emirates",ITF,2015,2015
79,Eber,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=97&p_search_id=211217142103,Turkey,1 February 2009,4 February 2009,"La Plata, Argentina",ITF,2009,2009
80,Eide Trader,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=467&p_search_id=211217142103,Marshall Islands,20 April 2020,19 October 2020,"Sharjah, UAE",ITF,2020,2020
81,Elbeik,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=585&p_search_id=211217142103,Togo,18 October 2021,29 October 2021,"Tarragona, Spain",ITF,2021,2021
82,Emirates Western III,,seafarersbrowse.details?p_lang=en&p_abandonment_id=577&p_search_id=211217142103,St. Kitts & Nevis,1 September 2021,14 October 2021,"Suez, Egypt",ITF,2021,2021
83,Ephesus,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=112&p_search_id=211217142103,Netherlands Antilles,2 August 2009,,Istanbul,ITF,2009,
84,Evangelia M,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=396&p_search_id=211217142103,Liberia,20 February 2018,21 June 2019,"Kakinada, India",Govt. of Liberia,2018,2019
85,Evolution,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=432&p_search_id=211217142103,Liberia,2 April 2020,3 April 2020,"Charleston, South Carolina, USA",Govt. of Liberia,2020,2020
86,Explorer,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=438&p_search_id=211217142103,Liberia,2 June 2020,9 June 2020,"Casablanca, Morocco",Govt. of Liberia,2020,2020
87,FADL-E-RABBI,,seafarersbrowse.details?p_lang=en&p_abandonment_id=243&p_search_id=211217142103,Panama,23 September 2016,26 September 2016,Chittagong,ITF,2016,2016
88,FREE NEPTUNE,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=241&p_search_id=211217142103,Liberia,25 June 2016,9 August 2016,"Muscat (Sultanate of Oman), Sohar(from 27 July 2016)",International Maritime Organisation,2016,2016
89,Fangting,,seafarersbrowse.details?p_lang=en&p_abandonment_id=582&p_search_id=211217142103,Tanzania,3 January 2021,25 October 2021,"Sharjah anchorage, UAE",ITF,2021,2021
90,Faola,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=174&p_search_id=211217142103,Panama,16 June 2011,17 June 2011,"Oristano, Sardinia",ITF,2011,2011
91,Faridah,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=502&p_search_id=211217142103,Oman,14 February 2020,2 December 2020,"Port Saleef, Yemen",ITF,2020,2020
92,Fine Water,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=535&p_search_id=211217142103,Togo,7 March 2021,18 May 2021,,ITF,2021,2021
93,Freedom,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=404&p_search_id=211217142103,Togo,1 July 2019,9 September 2019,"Bejaia, Algeria",ITF,2019,2019
94,Freya,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=395&p_search_id=211217142103,Antigua & Barbuda,6 June 2019,17 June 2019,"Szczecin, Poland",ITF,2019,2019
95,Frio V,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=522&p_search_id=211217142103,Cameroon,30 December 2020,15 March 2021,"Las Palmas, Spain",ITF,2020,2021
96,GB Ionian,,seafarersbrowse.details?p_lang=en&p_abandonment_id=240&p_search_id=211217142103,Moldova,1 March 2016,15 April 2016,Istanbul,ITF,2016,2016
97,GP B1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=515&p_search_id=211217142103,Panama,7 September 2020,27 January 2021,"Khor Fakkan, UAE",ITF,2020,2021
98,GP B2,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=516&p_search_id=211217142103,Panama,2 September 2020,27 January 2021,"Sharjah, UAE",ITF,2020,2021
99,GS Spring,,seafarersbrowse.details?p_lang=en&p_abandonment_id=557&p_search_id=211217142103,St. Kitts & Nevis,October 2019,6 July 2021,"Ningbo, China",ITF,2019,2021
100,Galaxy F,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=419&p_search_id=211217142103,Panama,16 January 2020,24 February 2020,"Misurata, Libya",ITF,2020,2020
101,Gas Amazon,,seafarersbrowse.details?p_lang=en&p_abandonment_id=529&p_search_id=211217142103,Panama,7 February 2021,18 March 2021,"Khor Fakkan, UAE",ITF,2021,2021
102,Gas Roma,,seafarersbrowse.details?p_lang=en&p_abandonment_id=578&p_search_id=211217142103,Panama,5 October 2021,14 October 2021,"Vessel underway to Khor Fakkan, UAE",ITF,2021,2021
103,Gas Roma,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=551&p_search_id=211217142103,Panama,16 June 2021,21 June 2021,"Vessel underway to Khor Fakkan, UAE",ITF,2021,2021
104,General Shiklinsky,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=462&p_search_id=211217142103,Malta,24 June 2020,13 October 2020,"Oristano, Italy",ITF,2020,2020
105,Georgiy - fishing vessel,,seafarersbrowse.details?p_lang=en&p_abandonment_id=541&p_search_id=211217142103,Ukraine,2 June 2021,11 June 2021,"Freetown, Sierra Leone",ITF,2021,2021
106,Ghena,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=542&p_search_id=211217142103,Panama,25 May 2021,11 June 2021,"Vessel is still sailing, currently en-route to Las Palmas.",ITF,2021,2021
107,Gibraltar,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=448&p_search_id=211217142103,Bahrain,21 June 2020,20 July 2020,"Hidd, Bahrain",ITF,2020,2020
108,Glory Sea,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=366&p_search_id=211217142103,Bahamas,11 November 2018,13 November 2018,"Sasebo, Japan",ITF,2018,2018
109,Gobustan,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=493&p_search_id=211217142103,Malta,7 July 2020,18 December 2020,"Ravenna, Italy",ITF,2020,2020
110,Golden Sky 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=325&p_search_id=211217142103,Panama,14 January 2018,14 January 2018,"Sharjah Hamriya anchorage, UAE",ITF,2018,2018
111,Grand Ferry,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=393&p_search_id=211217142103,Palau,21 May 2019,5 June 2019,"Hamad, Qatar",ITF,2019,2019
112,Grand I,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=376&p_search_id=211217142103,Nigeria,,4 January 2019,Nigeria,International Chamber of Shipping,,2019
113,Guimaraes,,seafarersbrowse.details?p_lang=en&p_abandonment_id=276&p_search_id=211217142103,Portugal,16 July 2012,,Bayonne,Govt. of France,2012,
114,Gulf Mirdif,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=417&p_search_id=211217142103,Liberia,3 January 2020,7 February 2020,"Recalada anchorage, Argentina",ITF,2020,2020
115,Gulf Mishref,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=401&p_search_id=211217142103,Liberia,2 May 2019,24 May 2019,"Veracruz, Mexico",Govt. of Liberia,2019,2019
116,Gulf Petroleum 4,,seafarersbrowse.details?p_lang=en&p_abandonment_id=436&p_search_id=211217142103,Liberia,24 April 2020,28 April 2020,"Misurata, Libya",Govt. of Liberia,2020,2020
117,HL OSAKA,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=405&p_search_id=211217142103,Panama,8 October 2019,18 October 2019,"Labuan, Malaysia",ITF,2019,2019
118,Hadi 27,,seafarersbrowse.details?p_lang=en&p_abandonment_id=543&p_search_id=211217142103,Bahrain,3 May 2021,11 June 2021,"Port Tanaqib, Saudi Arabia",ITF,2021,2021
119,Haitien Pride,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=46&p_search_id=211217142103,Panama,9 June 2006,13 July 2006,"Freeport, Bahamas",ITF,2006,2006
120,Haj Abdulla,,seafarersbrowse.details?p_lang=en&p_abandonment_id=575&p_search_id=211217142103,Sierra Leone,15 July 2021,1 October 2021,"Mogadishu, Somalia",ITF,2021,2021
121,Halani 5,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=342&p_search_id=211217142103,St. Vincent & Grenadines,February 2018,27 April 2018,"Douala's port, Cameroon",ITF,2018,2018
122,Hamada S,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=424&p_search_id=211217142103,Togo,18 December 2019,28 February 2020,"Bizerte (gounded), Tunisia",ITF,2019,2020
123,Hims 12,,seafarersbrowse.details?p_lang=en&p_abandonment_id=588&p_search_id=211217142103,Panama,1 October 2021,5 November 2021,"Dubai, UAE",ITF,2021,2021
124,Hoop,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=538&p_search_id=211217142103,Panama,20 May 2021,27 May 2021,"Hansweert, Netherlands",ITF,2021,2021
125,Hua Jian 1 ,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=475&p_search_id=211217142103,Togo,7 September 2020,23 October 2020,"Fuzhou anchorage, China",ITF,2020,2020
126,Huta 707,,seafarersbrowse.details?p_lang=en&p_abandonment_id=496&p_search_id=211217142103,Saudi Arabia,25 November 2019,18 December 2020,"Salman Bay, Jeddah, Saudi Arabia",ITF,2019,2020
127,Huta 709,,seafarersbrowse.details?p_lang=en&p_abandonment_id=497&p_search_id=211217142103,Saudi Arabia,26 November 2019,2 December 2020,"SAlman Bay, Jeddah, Saudi Arabia",ITF,2019,2020
128,Huta 710,,seafarersbrowse.details?p_lang=en&p_abandonment_id=501&p_search_id=211217142103,Saudi Arabia,5 November 2019,2 December 2020,"Salman Bay, Jeddah, Saudi Arabia",ITF,2019,2020
129,IBN Batouta,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=183&p_search_id=211217142103,Morocco,10 January 2012,17 July 2012,Port of ALGECIRAS,Other,2012,2012
130,Ilios,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=426&p_search_id=211217142103,Liberia,28 February 2020,11 March 2020,"Crisiobal (anchorage), Panama",Govt. of Liberia,2020,2020
131,Ima Atisi,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=357&p_search_id=211217142103,Panama,16 August 2018,,"Walvis Bay, Namibia",ITF,2018,
132,Indian Empress,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=343&p_search_id=211217142103,Isle of Man,,2017,"Grand Harbour Marina, Valletta, Malta",ITF,,2017
133,Istra,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=200&p_search_id=211217142103,Togo,23 August 2013,25 August 2013,"Valencia, Spain",ITF,2013,2013
134,Jag,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=422&p_search_id=211217142103,Tanzania,4 July 2019,28 February 2020,Malta,International Chamber of Shipping,2019,2020
135,Jalesh Karnika,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=459&p_search_id=211217142103,Bahamas,July 2020,12 October 2020,Near Mumbai coast,International Chamber of Shipping,2020,2020
136,Jasmine,inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=156&p_search_id=211217142103,,29 June 2010,17 September 2010,"Port de Bouc, France",ITF,2010,2010
137,Jerna S,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=301&p_search_id=211217142103,Bahrain,9 August 2017,26 August 2017,"Salalah Anchorage, Oman",ITF,2017,2017
138,Jibreel Ameen ,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=192&p_search_id=211217142103,Bangladesh,17 February 2013,18 February 2013,"Surabaya, Indonesia",ITF,2013,2013
139,Jinan,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=491&p_search_id=211217142103,Tanzania,October 2019,18 December 2020,"Mombasa, Kenya",ITF,2019,2020
140,Jolly Lizzy,,seafarersbrowse.details?p_lang=en&p_abandonment_id=473&p_search_id=211217142103,Togo,March 2020,20 October 2020,"Lome, Togo",ITF,2020,2020
141,Karl,,seafarersbrowse.details?p_lang=en&p_abandonment_id=277&p_search_id=211217142103,St. Kitts & Nevis,23 February 2015,,Brest,Govt. of France,2015,
142,Kaveh,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=381&p_search_id=211217142103,Iran,,31 January 2019,"Ilka Shipyard, Boushehr, Iran",International Chamber of Shipping,,2019
143,Kaveh,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=527&p_search_id=211217142103,Iran,November 2019,15 March 2021,"Bushehr, Iran",ITF,2019,2021
144,KayKay 1,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=523&p_search_id=211217142103,Bolivia,30 January 2021,15 March 2021,"San Pedro de Macoris, Dominican Republic",ITF,2021,2021
145,Kenan Mete,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=472&p_search_id=211217142103,Panama,August 2019,20 October 2020,"Adabiya, Egypt",ITF,2019,2020
146,Khosrov Bey,disputed,seafarersbrowse.details?p_lang=en&p_abandonment_id=463&p_search_id=211217142103,Malta,23 June 2020,13 October 2020,"Oristano, Italy",ITF,2020,2020
147,Kumi Maru No. 3,,seafarersbrowse.details?p_lang=en&p_abandonment_id=479&p_search_id=211217142103,,20 October 2020,26 October 2020,"Kaohsiung, Taiwan",ITF,2020,2020
