,name,status,link,flag,abandon_date,notified_date,port,reported_by,abandon_year,notified_year
373,Caribbean Express,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=141&p_search_id=211217142103,Panama,14 June 2010,14 June 2010,"Mayaguez, Puerto Rico",Non-governmental Organization,2010,2010
374,Carl Philipp,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=1&p_search_id=211217142103,Bolivia,18 June 2004,18 June 2004,Port-au-Prince (Haiti),ITF,2004,2004
375,Cassiopeia,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=203&p_search_id=211217142103,Dominica,1 April 2013,1 November 2013,Savona / Italy,ITF,2013,2013
376,Chang Da 12,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=180&p_search_id=211217142103,,3 January 2012,20 February 2012,"Agno, Pangasinan, Philippines",ITF,2012,2012
377,Clare,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=165&p_search_id=211217142103,Kiribati,13 May 2011,16 May 2011,"Cartegena, Spain",ITF,2011,2011
378,Claudia Trader,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=25&p_search_id=211217142103,Antigua & Barbuda,March 2004,March 2004,Barcelona (Spain),Govt. of Spain,2004,2004
379,Concel Pride,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=29&p_search_id=211217142103,Nigeria,17 May 2005,17 May 2005,Algeciras (Spain),ITF,2005,2005
380,Cormorant,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=128&p_search_id=211217142103,St. Vincent & Grenadines,5 January 2010,6 January 2010,"Frederiksvaerk, Denmark",ITF,2010,2010
381,D Ladybug,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=252&p_search_id=211217142103,Panama,July 2013,October 2013,"Anchored off Valetta, Malta",ITF,2013,2013
382,Dada Star,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=155&p_search_id=211217142103,Cambodia,November 2009,10 September 2010,"Pasajes, Spain",ITF,2009,2010
